trial,pass,review,reject,total_windows,pass_fraction,review_fraction,reject_fraction,unrecoverable_integrity_error,exclude_primary,exclusion_reason,include_ablation,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status
1,21,8,0,29,0.7241379310344828,0.27586206896551724,0.0,False,False,,True,neutral_1.mp4,5.81,1.99,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
2,26,3,0,29,0.896551724137931,0.10344827586206896,0.0,False,False,,True,9.m4v,1.1,5.46,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
3,22,6,1,29,0.7586206896551724,0.20689655172413793,0.034482758620689655,False,False,,True,3.mp4,7.04,3.01,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
4,27,2,0,29,0.9310344827586207,0.06896551724137931,0.0,False,False,,True,24.mp4,1.08,2.97,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
5,22,7,0,29,0.7586206896551724,0.2413793103448276,0.0,False,False,,True,15.mp4,1.0,4.88,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
6,21,7,1,29,0.7241379310344828,0.2413793103448276,0.034482758620689655,False,False,,True,neutral_2.mp4,5.0,1.45,ambiguous,low,ambiguous,False,True,False,self_report,derive_inside_training_fold
7,25,4,0,29,0.8620689655172413,0.13793103448275862,0.0,False,False,,True,4.mp4,1.0,5.46,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
8,20,7,2,29,0.6896551724137931,0.2413793103448276,0.06896551724137931,False,False,,True,17.mp4,1.08,6.95,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
9,26,3,0,29,0.896551724137931,0.10344827586206896,0.0,False,False,,True,1.mp4,1.26,6.29,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
10,28,1,0,29,0.9655172413793104,0.034482758620689655,0.0,False,False,,True,5.mp4,2.55,2.88,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
11,29,0,0,29,1.0,0.0,0.0,False,False,,True,2.m4v,2.92,1.72,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
